gff_file	kingdom	phylum	class	order	family	genus
/work/data/refseq/archaea/GCF_000015225.1/GCF_000015225.1_ASM1522v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum
/work/data/refseq/archaea/GCF_000026045.1/GCF_000026045.1_ASM2604v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas
/work/data/refseq/archaea/GCF_900079115.1/GCF_900079115.1_SSOP1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
/work/data/refseq/archaea/GCF_002214465.1/GCF_002214465.1_ASM221446v1_genomic.gbff	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
/work/data/refseq/archaea/GCF_001190965.1/GCF_001190965.1_ASM119096v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
/work/data/refseq/archaea/GCF_900095295.1/GCF_900095295.1_MCBB_genomic.gbff	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
/work/data/refseq/archaea/GCF_000970005.1/GCF_000970005.1_ASM97000v1_genomic.gbff	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
/work/data/refseq/archaea/GCF_000585495.1/GCF_000585495.1_ASM58549v1_genomic.gbff	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
/work/data/refseq/archaea/GCF_000220645.1/GCF_000220645.1_ASM22064v1_genomic.gbff	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
/work/data/refseq/archaea/GCF_000092305.1/GCF_000092305.1_ASM9230v1_genomic.gbff	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
/work/data/refseq/archaea/GCF_000217715.1/GCF_000217715.1_ASM21771v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger
/work/data/refseq/archaea/GCF_000151205.2/GCF_000151205.2_ASM15120v2_genomic.gbff	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
/work/data/refseq/archaea/GCF_000970145.1/GCF_000970145.1_ASM97014v1_genomic.gbff	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
/work/data/refseq/archaea/GCF_001305655.1/GCF_001305655.1_ASM130565v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum
/work/data/refseq/archaea/GCF_000022205.1/GCF_000022205.1_ASM2220v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum
/work/data/refseq/archaea/GCF_000025625.1/GCF_000025625.1_ASM2562v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba
/work/data/refseq/archaea/GCF_000186365.1/GCF_000186365.1_ASM18636v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus
/work/data/refseq/archaea/GCF_002215405.1/GCF_002215405.1_ASM221540v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
/work/data/refseq/archaea/GCF_000591055.1/GCF_000591055.1_ASM59105v1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas
/work/data/refseq/archaea/GCF_000970225.1/GCF_000970225.1_ASM97022v1_genomic.gbff	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
/work/data/refseq/archaea/GCF_001412615.1/GCF_001412615.1_ASM141261v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium
/work/data/refseq/archaea/GCF_000091665.1/GCF_000091665.1_ASM9166v1_genomic.gbff	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
/work/data/refseq/archaea/GCF_000011585.1/GCF_000011585.1_ASM1158v1_genomic.gbff	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
/work/data/refseq/archaea/GCF_001719125.1/GCF_001719125.1_ASM171912v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
/work/data/refseq/archaea/GCF_002214365.1/GCF_002214365.1_ASM221436v1_genomic.gbff	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus
/work/data/refseq/archaea/GCF_002787055.1/GCF_002787055.1_ASM278705v1_genomic.gbff	Archaea	Thaumarchaeota	unclassified Thaumarchaeota	Candidatus Nitrosotenuis		
/work/data/refseq/archaea/GCF_000499765.1/GCF_000499765.1_Methanobacterium_genomic.gbff	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
/work/data/refseq/archaea/GCF_000350305.1/GCF_000350305.1_ASM35030v1_genomic.gbff	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales		
/work/data/refseq/archaea/GCF_002813655.1/GCF_002813655.1_ASM281365v1_genomic.gbff	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium
/work/data/refseq/archaea/GCF_002078355.1/GCF_002078355.1_ASM207835v1_genomic.gbff	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma
/work/data/refseq/archaea/GCF_002215445.1/GCF_002215445.1_ASM221544v1_genomic.gbff	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
/work/data/refseq/archaea/GCF_000235565.1/GCF_000235565.1_ASM23556v1_genomic.gbff	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta
/work/data/refseq/archaea/GCF_000006175.1/GCF_000006175.1_ASM617v2_genomic.gbff	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus
/work/data/refseq/archaea/GCF_000263735.1/GCF_000263735.1_ASM26373v1_genomic.gbff	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
/work/data/refseq/archaea/GCF_000470655.1/GCF_000470655.1_HATI1_genomic.gbff	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus
